Date,Time,Data,MMSI,Type,Message,NMEA,Slot,Slots
Tue Jul 22 2025,21:05:35,60781a2481244d25094a3bc1143c7344000000003c,503744800,Static data report,"Type: Vessel - Sailing Vendor ID: SRTIR#/ Callsign: AEC13Q","!AIVDM,1,1,,,H7PJ984TCBD9BSg153ikA000000t,0*69
",1332,1
Tue Jul 22 2025,21:05:42,487a124738000032b157875d47299f4ffd45ce0006,512004558,Standard Class B equipment position report,"Lat: -17.7736° Lon: 177.184° Speed: 0 knts Course: 254.8°","!AIVDM,1,1,,,B7`BAkP003:iEpMMAjVOCwm5kP06,0*7c
",1598,1
Tue Jul 22 2025,21:05:44,047bbd22303f40032b07ebf5d5294b74105a0008e6,518998156,Position report (Scheduled),"Lat: -17.7687° Lon: 177.172° Speed: 0 knts Course: 293.2° Status: Under way using engine","!AIVDM,1,1,,,17fu8S0w@0<c1vgmmBU;M11J00SV,0*7f
",1665,1
Tue Jul 22 2025,21:05:47,603750e1d9244cd505e6524d0c167300004020307c,232011894,Static data report,"Type: Vessel - Sailing Vendor ID: SMTE9%I Callsign: MCAY3","!AIVDM,1,1,,,H3M@pMTTC=D5qU9=31Ik0010831t,0*6c
",1781,1
Tue Jul 22 2025,21:05:48,483750e1d8000132b184775d47c4e10ffe01c944fa,232011894,Standard Class B equipment position report,"Lat: -17.7733° Lon: 177.186° Speed: 0.1 knts Course: 360°","!AIVDM,1,1,,,B3M@pMP00C:iQ7MMAtCQ3wp1jDCr,0*3d
",1827,1
Tue Jul 22 2025,21:06:02,0c7bbd39a84000132b0b6ef5d52977901876014e6a,518999658,Position report (Interrogated),"Lat: -17.7687° Lon: 177.175° Speed: 0.1 knts Course: 193.6° Status: At anchor","!AIVDM,1,1,,,37fu>JQ001<c2nsmmBUoT1Qn0Dqb,0*51
",76,1
Tue Jul 22 2025,21:06:14,487a125674000032b196275d4e420b0ff9a5ce0006,512005533,Standard Class B equipment position report,"Lat: -17.7706° Lon: 177.187° Speed: 0 knts Course: 17.6°","!AIVDM,1,1,,,B7`BEW@003:iURMMCT8;3wVUkP06,0*6b
",524,1
Tue Jul 22 2025,21:06:20,4877f7c1380003b2b124b75d432ddacffa65de0006,503181390,Standard Class B equipment position report,"Lat: -17.7753° Lon: 177.181° Speed: 0.3 knts Course: 350°","!AIVDM,1,1,,,B7OohCP00s:i9;MM@joJkwaUoP06,0*75
",750,1
Tue Jul 22 2025,21:06:23,607a124738341827801481000000000000000000,512004558,Static data report,"Name: MA ' ARA","!AIVDM,1,1,,,H7`BAkPl62N0584000000000000,2*6d
",876,1
Tue Jul 22 2025,21:06:23,607a1247392500000000001a355df0cb0078005000,512004558,Static data report,"Type: Vessel - Pleasure craft Vendor ID:  Callsign: ZMU7020","!AIVDM,1,1,,,H7`BAkTU0000000J=Eohjh1p0500,0*52
",893,1
